timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,aug_type
1758628275.9669669,,,399.0,325.0,2355,2598,1710,2960,left_nan
1758628490.0046377,266.0,210.0,,,2019,2418,2337,2613,right_nan
1758627927.5111654,,,469.0,220.0,1653,1932,3033,2402,left_nan
1758628373.0224218,397.0,353.0,,,1537,2411,2291,2537,right_nan
1758628419.816008,244.0,222.0,,,2035,2452,2218,2599,right_nan
1758628028.6575491,,,442.0,277.0,1876,2197,2251,2825,left_nan
1758628779.3110037,375.0,436.0,599.0,237.0,1323,2723,1894,2632,original
1758628028.6575491,295.0,323.0,442.0,277.0,1876,2197,2251,2825,original
1758628431.702571,150.0,206.0,,,2180,2449,2226,2598,right_nan
1758628070.2734356,174.0,290.0,,,2350,2222,2106,2932,right_nan
1758627688.409355,,,361.0,263.0,2074,2056,2722,2490,left_nan
1758628267.1627069,,,454.0,293.0,2095,2599,1623,3038,left_nan
1758628326.717744,,,368.0,287.0,2304,2533,1953,2785,left_nan
1758628228.1372097,347.0,451.0,,,1305,2556,1950,2744,right_nan
1758628886.8430057,,,331.0,333.0,2625,2710,1904,2617,left_nan
1758627679.9423854,223.0,250.0,,,2258,2086,2659,2569,right_nan
1758628505.0433855,321.0,225.0,416.0,190.0,1899,2314,2469,2508,original
1758628964.4456518,,,539.0,177.0,1554,2542,2266,2460,left_nan
1758628936.1228778,218.0,228.0,434.0,219.0,2013,2716,1843,2697,original
1758628046.359708,134.0,247.0,,,2518,1956,2939,2365,right_nan
1758627722.0378635,218.0,410.0,490.0,346.0,1624,2297,1753,3078,original
1758628089.7876952,281.0,348.0,450.0,296.0,1825,2191,2079,2960,original
1758628017.7209392,391.0,376.0,500.0,251.0,1586,2039,2659,2594,original
1758628255.7462468,,,513.0,259.0,1708,2598,1722,2952,left_nan
1758628897.9898818,,,273.0,350.0,2633,2617,2104,2522,left_nan
1758628255.7462468,262.0,333.0,,,1708,2598,1722,2952,right_nan
1758628465.7382338,,,202.0,269.0,2445,2062,3030,2270,left_nan
1758628343.9717677,148.0,265.0,430.0,258.0,2039,2559,1871,2828,original
1758629053.8499703,140.0,145.0,205.0,229.0,2442,2156,3075,2105,original
1758627599.2144556,90.0,294.0,,,2739,2267,2203,2763,right_nan
1758627722.0378635,218.0,410.0,,,1624,2297,1753,3078,right_nan
1758628197.8535328,211.0,365.0,538.0,294.0,1612,2582,1569,3074,original
1758628984.2172976,444.0,270.0,513.0,157.0,1624,2245,2875,2121,original
1758628156.7258592,38.0,248.0,,,2755,2599,2014,2632,right_nan
1758628167.6923034,,,372.0,400.0,2685,2624,1753,2887,left_nan
1758627983.8394234,98.0,287.0,301.0,432.0,2691,2241,2255,2750,original
1758629009.7484405,300.0,207.0,,,1904,2588,2156,2511,right_nan
1758628238.949049,,,552.0,233.0,1463,2508,2086,2666,left_nan
1758629032.402712,209.0,169.0,,,2227,2491,2379,2396,right_nan
1758627599.2144556,90.0,294.0,307.0,437.0,2739,2267,2203,2763,original
1758628520.818963,440.0,272.0,,,1652,2087,3007,2288,right_nan
1758627620.706007,,,218.0,323.0,2476,1947,3038,2401,left_nan
1758628326.717744,158.0,231.0,,,2304,2533,1953,2785,right_nan
1758628916.653967,113.0,185.0,,,2501,2648,2050,2564,right_nan
1758628362.4641314,333.0,310.0,,,1669,2505,2058,2712,right_nan
1758627599.2144556,,,307.0,437.0,2739,2267,2203,2763,left_nan
1758628097.9557374,369.0,398.0,507.0,268.0,1511,2179,2364,2763,original
1758628465.7382338,112.0,172.0,202.0,269.0,2445,2062,3030,2270,original
1758628352.7552795,,,470.0,240.0,1849,2528,1941,2796,left_nan
1758628007.3485508,357.0,447.0,,,1388,2285,2132,2880,right_nan
1758628097.9557374,369.0,398.0,,,1511,2179,2364,2763,right_nan
1758628058.5433571,134.0,274.0,,,2559,2192,2306,2762,right_nan
1758627712.7774022,163.0,372.0,451.0,377.0,2168,2296,1769,3014,original
1758629038.066388,160.0,157.0,,,2368,2373,2634,2257,right_nan
1758628512.689211,377.0,250.0,,,1752,2316,2537,2476,right_nan
1758628007.3485508,357.0,447.0,544.0,289.0,1388,2285,2132,2880,original
1758627878.582533,340.0,474.0,,,1349,2234,2182,2803,right_nan
1758627638.9187832,155.0,273.0,311.0,347.0,2436,2250,2244,2768,original
1758627968.428236,,,494.0,331.0,1790,2306,1906,2918,left_nan
1758628058.5433571,134.0,274.0,299.0,373.0,2559,2192,2306,2762,original
1758629038.066388,,,254.0,217.0,2368,2373,2634,2257,left_nan
1758628490.0046377,,,377.0,205.0,2019,2418,2337,2613,left_nan
1758627608.5895412,122.0,248.0,,,2602,2087,2723,2431,right_nan
1758628304.6136994,81.0,209.0,,,2609,2322,2529,2392,right_nan
1758628188.5087223,,,490.0,324.0,2059,2579,1550,3038,left_nan
1758628474.2324183,184.0,171.0,255.0,245.0,2336,2218,2781,2303,original
1758628156.7258592,,,279.0,446.0,2755,2599,2014,2632,left_nan
1758628039.1513426,,,354.0,310.0,2229,2210,2310,2730,left_nan
1758628964.4456518,425.0,313.0,,,1554,2542,2266,2460,right_nan
1758627679.9423854,223.0,250.0,320.0,288.0,2258,2086,2659,2569,original
1758628721.722479,50.0,256.0,386.0,399.0,2758,2811,1654,2778,original
1758628481.9008656,205.0,142.0,,,2196,2343,2452,2496,right_nan
1758628490.0046377,266.0,210.0,377.0,205.0,2019,2418,2337,2613,original
1758628255.7462468,262.0,333.0,513.0,259.0,1708,2598,1722,2952,original
1758627983.8394234,98.0,287.0,,,2691,2241,2255,2750,right_nan
1758628431.702571,,,348.0,243.0,2180,2449,2226,2598,left_nan
1758628188.5087223,150.0,328.0,490.0,324.0,2059,2579,1550,3038,original
1758627976.1495104,,,397.0,382.0,2449,2290,1912,3012,left_nan
1758628392.1583166,418.0,308.0,,,1597,2228,2722,2334,right_nan
1758628392.1583166,,,513.0,190.0,1597,2228,2722,2334,left_nan
1758627954.0689323,220.0,330.0,408.0,326.0,2051,2233,1978,3054,original
1758628451.2152236,124.0,177.0,,,2478,2071,3007,2218,right_nan
1758628838.8509195,186.0,246.0,,,2000,2841,1619,2777,right_nan
1758628897.9898818,78.0,206.0,273.0,350.0,2633,2617,2104,2522,original
1758627712.7774022,163.0,372.0,,,2168,2296,1769,3014,right_nan
1758627775.438804,319.0,379.0,,,1610,2234,2200,2832,right_nan
1758628179.3263242,98.0,292.0,429.0,371.0,2518,2600,1588,3036,original
1758628039.1513426,211.0,278.0,,,2229,2210,2310,2730,right_nan
1758628984.2172976,444.0,270.0,,,1624,2245,2875,2121,right_nan
1758628317.8714302,119.0,223.0,,,2504,2487,2155,2594,right_nan
1758627629.958687,205.0,230.0,,,2302,1926,3038,2283,right_nan
1758627739.5916972,317.0,276.0,395.0,243.0,1902,1993,2839,2427,original
1758628288.6448357,63.0,228.0,200.0,460.0,2700,2469,2188,2583,original
1758629038.066388,160.0,157.0,254.0,217.0,2368,2373,2634,2257,original
1758628474.2324183,184.0,171.0,,,2336,2218,2781,2303,right_nan
1758628758.1643438,222.0,383.0,,,1494,2873,1438,2954,right_nan
1758627645.2706249,106.0,318.0,,,2737,2303,1949,2963,right_nan
1758628481.9008656,,,318.0,219.0,2196,2343,2452,2496,left_nan
1758628238.949049,374.0,388.0,552.0,233.0,1463,2508,2086,2666,original
1758627921.4907715,412.0,328.0,,,1665,1965,2922,2346,right_nan
1758628288.6448357,,,200.0,460.0,2700,2469,2188,2583,left_nan
1758629024.880425,,,387.0,182.0,2064,2533,2275,2469,left_nan
1758627968.428236,233.0,390.0,,,1790,2306,1906,2918,right_nan
1758628197.8535328,211.0,365.0,,,1612,2582,1569,3074,right_nan
1758627629.958687,205.0,230.0,289.0,292.0,2302,1926,3038,2283,original
1758627671.707508,,,360.0,352.0,2433,2279,2013,2939,left_nan
1758628362.4641314,333.0,310.0,513.0,225.0,1669,2505,2058,2712,original
1758628089.7876952,,,450.0,296.0,1825,2191,2079,2960,left_nan
1758627608.5895412,122.0,248.0,247.0,380.0,2602,2087,2723,2431,original
1758628070.2734356,,,355.0,341.0,2350,2222,2106,2932,left_nan
1758627645.2706249,,,352.0,431.0,2737,2303,1949,2963,left_nan
1758628317.8714302,119.0,223.0,296.0,319.0,2504,2487,2155,2594,original
1758628505.0433855,,,416.0,190.0,1899,2314,2469,2508,left_nan
1758628886.8430057,69.0,195.0,331.0,333.0,2625,2710,1904,2617,original
1758627688.409355,272.0,257.0,,,2074,2056,2722,2490,right_nan
1758628083.1438,231.0,320.0,410.0,313.0,2100,2240,2034,2953,original
1758628744.2155886,157.0,326.0,,,1992,2909,1308,3047,right_nan
1758627671.707508,170.0,304.0,360.0,352.0,2433,2279,2013,2939,original
1758628764.4125755,,,593.0,255.0,1325,2795,1659,2797,left_nan
1758627620.706007,156.0,214.0,,,2476,1947,3038,2401,right_nan
1758628764.4125755,318.0,420.0,,,1325,2795,1659,2797,right_nan
1758627722.0378635,,,490.0,346.0,1624,2297,1753,3078,left_nan
1758629009.7484405,300.0,207.0,437.0,179.0,1904,2588,2156,2511,original
1758628916.653967,113.0,185.0,301.0,286.0,2501,2648,2050,2564,original
1758628046.359708,,,248.0,365.0,2518,1956,2939,2365,left_nan
1758628352.7552795,187.0,294.0,470.0,240.0,1849,2528,1941,2796,original
1758628267.1627069,182.0,287.0,,,2095,2599,1623,3038,right_nan
1758627733.4559207,268.0,344.0,446.0,297.0,1863,2254,2041,2947,original
1758628964.4456518,425.0,313.0,539.0,177.0,1554,2542,2266,2460,original
1758628629.5616834,,,295.0,386.0,2753,2712,1968,2554,left_nan
1758629024.880425,257.0,189.0,,,2064,2533,2275,2469,right_nan
1758628097.9557374,,,507.0,268.0,1511,2179,2364,2763,left_nan
1758628936.1228778,218.0,228.0,,,2013,2716,1843,2697,right_nan
1758628288.6448357,63.0,228.0,,,2700,2469,2188,2583,right_nan
1758628373.0224218,397.0,353.0,535.0,213.0,1537,2411,2291,2537,original
1758628326.717744,158.0,231.0,368.0,287.0,2304,2533,1953,2785,original
1758628811.1758964,,,539.0,217.0,1593,2692,1900,2649,left_nan
1758629009.7484405,,,437.0,179.0,1904,2588,2156,2511,left_nan
1758628984.2172976,,,513.0,157.0,1624,2245,2875,2121,left_nan
1758628744.2155886,,,513.0,309.0,1992,2909,1308,3047,left_nan
1758628431.702571,150.0,206.0,348.0,243.0,2180,2449,2226,2598,original
1758628304.6136994,81.0,209.0,215.0,344.0,2609,2322,2529,2392,original
1758628179.3263242,98.0,292.0,,,2518,2600,1588,3036,right_nan
1758628399.9305682,306.0,271.0,,,1764,2403,2315,2564,right_nan
1758627921.4907715,412.0,328.0,468.0,221.0,1665,1965,2922,2346,original
1758628474.2324183,,,255.0,245.0,2336,2218,2781,2303,left_nan
1758628886.8430057,69.0,195.0,,,2625,2710,1904,2617,right_nan
1758629032.402712,,,338.0,194.0,2227,2491,2379,2396,left_nan
1758628465.7382338,112.0,172.0,,,2445,2062,3030,2270,right_nan
1758628343.9717677,,,430.0,258.0,2039,2559,1871,2828,left_nan
1758628058.5433571,,,299.0,373.0,2559,2192,2306,2762,left_nan
1758628362.4641314,,,513.0,225.0,1669,2505,2058,2712,left_nan
1758627608.5895412,,,247.0,380.0,2602,2087,2723,2431,left_nan
1758628956.6002612,374.0,299.0,517.0,184.0,1641,2625,2095,2547,original
1758627788.7955112,356.0,305.0,,,1754,1816,3035,2351,right_nan
1758627954.0689323,,,408.0,326.0,2051,2233,1978,3054,left_nan
1758629087.3260555,128.0,178.0,,,2455,2592,2198,2443,right_nan
1758627907.3237405,359.0,409.0,509.0,276.0,1482,2234,2182,2958,original
1758628994.123402,,,485.0,165.0,1744,2502,2368,2392,left_nan
1758628744.2155886,157.0,326.0,513.0,309.0,1992,2909,1308,3047,original
1758627679.9423854,,,320.0,288.0,2258,2086,2659,2569,left_nan
1758628779.3110037,375.0,436.0,,,1323,2723,1894,2632,right_nan
1758627638.9187832,,,311.0,347.0,2436,2250,2244,2768,left_nan
