cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,aug_type
134.0,274.0,299.0,373.0,2559,2192,2306,2762,original
,,254.0,217.0,2368,2373,2634,2257,left_nan
,,377.0,205.0,2019,2418,2337,2613,left_nan
122.0,248.0,,,2602,2087,2723,2431,right_nan
81.0,209.0,,,2609,2322,2529,2392,right_nan
,,490.0,324.0,2059,2579,1550,3038,left_nan
184.0,171.0,255.0,245.0,2336,2218,2781,2303,original
,,279.0,446.0,2755,2599,2014,2632,left_nan
,,354.0,310.0,2229,2210,2310,2730,left_nan
425.0,313.0,,,1554,2542,2266,2460,right_nan
223.0,250.0,320.0,288.0,2258,2086,2659,2569,original
50.0,256.0,386.0,399.0,2758,2811,1654,2778,original
205.0,142.0,,,2196,2343,2452,2496,right_nan
266.0,210.0,377.0,205.0,2019,2418,2337,2613,original
262.0,333.0,513.0,259.0,1708,2598,1722,2952,original
98.0,287.0,,,2691,2241,2255,2750,right_nan
,,348.0,243.0,2180,2449,2226,2598,left_nan
150.0,328.0,490.0,324.0,2059,2579,1550,3038,original
,,397.0,382.0,2449,2290,1912,3012,left_nan
418.0,308.0,,,1597,2228,2722,2334,right_nan
,,513.0,190.0,1597,2228,2722,2334,left_nan
220.0,330.0,408.0,326.0,2051,2233,1978,3054,original
124.0,177.0,,,2478,2071,3007,2218,right_nan
186.0,246.0,,,2000,2841,1619,2777,right_nan
78.0,206.0,273.0,350.0,2633,2617,2104,2522,original
163.0,372.0,,,2168,2296,1769,3014,right_nan
319.0,379.0,,,1610,2234,2200,2832,right_nan
98.0,292.0,429.0,371.0,2518,2600,1588,3036,original
211.0,278.0,,,2229,2210,2310,2730,right_nan
444.0,270.0,,,1624,2245,2875,2121,right_nan
119.0,223.0,,,2504,2487,2155,2594,right_nan
205.0,230.0,,,2302,1926,3038,2283,right_nan
317.0,276.0,395.0,243.0,1902,1993,2839,2427,original
63.0,228.0,200.0,460.0,2700,2469,2188,2583,original
160.0,157.0,254.0,217.0,2368,2373,2634,2257,original
184.0,171.0,,,2336,2218,2781,2303,right_nan
222.0,383.0,,,1494,2873,1438,2954,right_nan
106.0,318.0,,,2737,2303,1949,2963,right_nan
,,318.0,219.0,2196,2343,2452,2496,left_nan
374.0,388.0,552.0,233.0,1463,2508,2086,2666,original
412.0,328.0,,,1665,1965,2922,2346,right_nan
,,200.0,460.0,2700,2469,2188,2583,left_nan
,,387.0,182.0,2064,2533,2275,2469,left_nan
233.0,390.0,,,1790,2306,1906,2918,right_nan
211.0,365.0,,,1612,2582,1569,3074,right_nan
205.0,230.0,289.0,292.0,2302,1926,3038,2283,original
,,360.0,352.0,2433,2279,2013,2939,left_nan
333.0,310.0,513.0,225.0,1669,2505,2058,2712,original
,,450.0,296.0,1825,2191,2079,2960,left_nan
122.0,248.0,247.0,380.0,2602,2087,2723,2431,original
,,355.0,341.0,2350,2222,2106,2932,left_nan
,,352.0,431.0,2737,2303,1949,2963,left_nan
119.0,223.0,296.0,319.0,2504,2487,2155,2594,original
,,416.0,190.0,1899,2314,2469,2508,left_nan
69.0,195.0,331.0,333.0,2625,2710,1904,2617,original
272.0,257.0,,,2074,2056,2722,2490,right_nan
231.0,320.0,410.0,313.0,2100,2240,2034,2953,original
157.0,326.0,,,1992,2909,1308,3047,right_nan
170.0,304.0,360.0,352.0,2433,2279,2013,2939,original
,,593.0,255.0,1325,2795,1659,2797,left_nan
156.0,214.0,,,2476,1947,3038,2401,right_nan
318.0,420.0,,,1325,2795,1659,2797,right_nan
,,490.0,346.0,1624,2297,1753,3078,left_nan
300.0,207.0,437.0,179.0,1904,2588,2156,2511,original
113.0,185.0,301.0,286.0,2501,2648,2050,2564,original
,,248.0,365.0,2518,1956,2939,2365,left_nan
187.0,294.0,470.0,240.0,1849,2528,1941,2796,original
182.0,287.0,,,2095,2599,1623,3038,right_nan
268.0,344.0,446.0,297.0,1863,2254,2041,2947,original
425.0,313.0,539.0,177.0,1554,2542,2266,2460,original
,,295.0,386.0,2753,2712,1968,2554,left_nan
257.0,189.0,,,2064,2533,2275,2469,right_nan
,,507.0,268.0,1511,2179,2364,2763,left_nan
218.0,228.0,,,2013,2716,1843,2697,right_nan
63.0,228.0,,,2700,2469,2188,2583,right_nan
397.0,353.0,535.0,213.0,1537,2411,2291,2537,original
158.0,231.0,368.0,287.0,2304,2533,1953,2785,original
,,539.0,217.0,1593,2692,1900,2649,left_nan
,,437.0,179.0,1904,2588,2156,2511,left_nan
,,513.0,157.0,1624,2245,2875,2121,left_nan
,,513.0,309.0,1992,2909,1308,3047,left_nan
150.0,206.0,348.0,243.0,2180,2449,2226,2598,original
81.0,209.0,215.0,344.0,2609,2322,2529,2392,original
98.0,292.0,,,2518,2600,1588,3036,right_nan
306.0,271.0,,,1764,2403,2315,2564,right_nan
412.0,328.0,468.0,221.0,1665,1965,2922,2346,original
,,255.0,245.0,2336,2218,2781,2303,left_nan
69.0,195.0,,,2625,2710,1904,2617,right_nan
,,338.0,194.0,2227,2491,2379,2396,left_nan
112.0,172.0,,,2445,2062,3030,2270,right_nan
,,430.0,258.0,2039,2559,1871,2828,left_nan
,,299.0,373.0,2559,2192,2306,2762,left_nan
,,513.0,225.0,1669,2505,2058,2712,left_nan
,,247.0,380.0,2602,2087,2723,2431,left_nan
374.0,299.0,517.0,184.0,1641,2625,2095,2547,original
356.0,305.0,,,1754,1816,3035,2351,right_nan
,,408.0,326.0,2051,2233,1978,3054,left_nan
128.0,178.0,,,2455,2592,2198,2443,right_nan
359.0,409.0,509.0,276.0,1482,2234,2182,2958,original
,,485.0,165.0,1744,2502,2368,2392,left_nan
157.0,326.0,513.0,309.0,1992,2909,1308,3047,original
,,320.0,288.0,2258,2086,2659,2569,left_nan
375.0,436.0,,,1323,2723,1894,2632,right_nan
,,311.0,347.0,2436,2250,2244,2768,left_nan
